026327120407,026543259010,818562534844,026607219740,
026275725764,026443775960,031324132823,026523467540,
026298947751,026509814280,031410548617,026600219380,
026310795559,026553272550,031481573704,026650899400,
026236392185,026464471350,031375305848,026568966980,
003908007338,026789468290,040347978132,026865918260,
320268127250,026623061050,262591415170,021284251360,
333100996020,026886009300,256596287700,020528358080,
795972188319,026498861010,627669753818,026601045730,
026374730881,026586591210,031508436062,026665187920,
