000238241761,000186386430,000171748400,000136563980,
000240517512,000187950410,000172014574,000137415420,
000238650085,000186027040,000170386221,000136335240,
000239524960,000186239100,000170775137,000136592890,
000238515075,000186393940,000170129264,000136441880,
000240500178,000187756090,000171720691,000137799300,
000238884093,000186396690,000169942985,000136556470,
000239388975,000186975030,000170311331,000136983500,
000238883239,000186430350,000170230216,000136731820,
000238401062,000186205590,000169735101,000136429800,
