000062489952,000049148340,000044845283,000036015740,
000062719566,000049270130,000045177496,000036161400,
000062468163,000048967340,000044551339,000035941690,
000062689964,000049053630,000044758003,000035976420,
000062963889,000049770440,000045199103,000036328630,
000062485496,000049126000,000044692452,000035998600,
000062224206,000049288490,000044780403,000036129260,
000063267233,000049469790,000044909431,000036114730,
000063244406,000049193330,000044788582,000036079540,
000063172263,000049227290,000045102241,000036047410,
