000000103760,000000133410,000000056213,000000065030
000006585700,000000088430,000000581660,000000064880
000001002200,000000132500,000000839230,000000976100
000001130980,000000132490,000000095031,000000662500
000000067139,000000088440,000000082763,000000976100
000000062561,000000088430,000000062133,000000064560
000000066284,000000884400,000000504150,000000066550
000009661800,000001334200,000000859370,000000097760
000000984490,000000088740,000000055847,000000065170
000000712890,000000088740,000000057312,000000065180
